date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:38	120476/120476	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2023:25:38%20GMT	https://www.topnotchdezigns.com/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/index.html	(from )
03:03:38	174/174	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Aug%202023%2000:03:38%20GMT	https://www.topnotchdezigns.com/robots.txt		(from )
03:03:39	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2018%20May%202016%2012:00:45%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon.ico	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon.ico	(from https://www.topnotchdezigns.com/)
03:03:39	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d25459-302c%22	https://www.topnotchdezigns.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.topnotchdezigns.com/)
03:03:39	11487/11487	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Apr%202023%2014:12:10%20GMT	https://www.topnotchdezigns.com/wp-content/uploads/2023/03/Web-Design-and-Development-Company-in-New-York-Top-Notch-Dezigns.jpg	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/uploads/2023/03/Web-Design-and-Development-Company-in-New-York-Top-Notch-Dezigns.jpg	(from https://www.topnotchdezigns.com/)
03:03:39	23817/23817	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/css/prettyPhoto.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/rt-prettyphoto/css/prettyPhoto5c71.css	(from https://www.topnotchdezigns.com/)
03:03:40	97517/97517	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2010:55:26%20GMT	https://www.topnotchdezigns.com/wp-includes/css/dist/block-library/style.min.css?ver=3e7e96fad5e237fb2d5a081c6cb11212	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-includes/css/dist/block-library/style.min64ec.css	(from https://www.topnotchdezigns.com/)
03:03:40	6347/6347	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/constant-contact-forms/assets/css/style.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/constant-contact-forms/assets/css/style5c71.css	(from https://www.topnotchdezigns.com/)
03:03:40	104491/104491	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/plugins/wp-user-avatar/assets/css/frontend.min5c71.css	(from https://www.topnotchdezigns.com/)
03:03:40	13825/13825	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2011:02:16%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.12.0	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minb925.css	(from https://www.topnotchdezigns.com/)
03:03:41	14965/14965	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2011:02:18%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=3e7e96fad5e237fb2d5a081c6cb11212	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min64ec.css	(from https://www.topnotchdezigns.com/)
03:03:41	238721/238721	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/main.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/main5c71.css	(from https://www.topnotchdezigns.com/)
03:03:41	35649/35649	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/custom.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/custom5c71.css	(from https://www.topnotchdezigns.com/)
03:03:41	29168/29168	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/font-awesome.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/font-awesome5c71.css	(from https://www.topnotchdezigns.com/)
03:03:41	26986/26986	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch/genericons/genericons.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch/genericons/genericons5c71.css	(from https://www.topnotchdezigns.com/)
03:03:42	662/662	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Aug%202023%2006:57:43%20GMT	https://www.topnotchdezigns.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://www.topnotchdezigns.com/)
